model,strategy,language,precision,recall,f1,accuracy,mcc,auc,n
GPT-4o-mini,Zero-Shot,C,0.575,0.92,0.7076923076923077,0.62,0.3,0.6408,100
GPT-4o-mini,Zero-Shot,Python,0.5454545454545454,0.84,0.6614173228346457,0.57,0.16633695978261512,0.5656,100
GPT-4o-mini,CoT,C,0.5641025641025641,0.88,0.6875,0.6,0.2414022747926338,0.6108,100
GPT-4o-mini,CoT,Python,0.5384615384615384,0.84,0.65625,0.5555555555555556,0.12878927994012138,0.5648979591836735,99
Gemini 2.5 Flash,Zero-Shot,C,0.5714285714285714,0.16,0.25,0.52,0.0576390417704235,0.5676000000000001,100
Gemini 2.5 Flash,Zero-Shot,Python,0.76,0.38,0.5066666666666667,0.63,0.3002221399786054,0.626,100
Gemini 2.5 Flash,CoT,C,0.6,0.12,0.2,0.5151515151515151,0.06365753362165408,0.6428571428571428,99
Gemini 2.5 Flash,CoT,Python,0.7619047619047619,0.32653061224489793,0.45714285714285713,0.6161616161616161,0.27704670684793553,0.663469387755102,99
Claude Haiku,Zero-Shot,C,0.7,0.56,0.6222222222222222,0.66,0.32659863237109044,0.7247999999999999,100
Claude Haiku,Zero-Shot,Python,0.6410256410256411,0.5,0.5617977528089888,0.61,0.22552540122880066,0.6661999999999999,100
Claude Haiku,CoT,C,0.7,0.56,0.6222222222222222,0.6565656565656566,0.3210541267992552,0.7122448979591837,99
Claude Haiku,CoT,Python,0.6,0.5106382978723404,0.5517241379310345,0.5979381443298969,0.19354263940058294,0.6395744680851063,97
