model,strategy,size_group,n,accuracy
gpt-4o-mini,zero_shot,Small,52,0.5
gpt-4o-mini,zero_shot,Medium,99,0.5858585858585859
gpt-4o-mini,zero_shot,Large,49,0.7142857142857143
gpt-4o-mini,cot,Small,52,0.46153846153846156
gpt-4o-mini,cot,Medium,98,0.6020408163265306
gpt-4o-mini,cot,Large,49,0.6530612244897959
gemini-2.5-flash,zero_shot,Small,52,0.6538461538461539
gemini-2.5-flash,zero_shot,Medium,99,0.5151515151515151
gemini-2.5-flash,zero_shot,Large,49,0.6122448979591837
gemini-2.5-flash,cot,Small,51,0.6078431372549019
gemini-2.5-flash,cot,Medium,99,0.5151515151515151
gemini-2.5-flash,cot,Large,48,0.625
claude-haiku,zero_shot,Small,52,0.5576923076923077
claude-haiku,zero_shot,Medium,99,0.5959595959595959
claude-haiku,zero_shot,Large,49,0.7959183673469388
claude-haiku,cot,Small,48,0.5625
claude-haiku,cot,Medium,99,0.5959595959595959
claude-haiku,cot,Large,49,0.7551020408163265
